"","instname","academicyear","fte_count","grad_rate_150_p"
"128280","The University of Alabama",2007,21630.890625,0.651006711409396
"128281","The University of Alabama",2008,23499.404398,0.644487427466151
"128282","The University of Alabama",2009,24873.39006,0.659289067739772
"128283","The University of Alabama",2010,26378.53837,0.672644376899696
"128326","Auburn University Main Campus",2002,20491.409768,0.675083662914512
"128327","Auburn University Main Campus",2003,21235.835096,0.675796178343949
"128328","Auburn University Main Campus",2004,21271.348563,0.649698960043788
"128329","Auburn University Main Campus",2005,20980.81933,0.619008935824533
"128330","Auburn University Main Campus",2006,21318.007974,0.627298627298627
"128331","Auburn University Main Campus",2007,21457.345703125,0.633859320673977
"128332","Auburn University Main Campus",2008,21940.537874,0.641513982642237
"128333","Auburn University Main Campus",2009,22279.20028,0.670910075839653
"128334","Auburn University Main Campus",2010,22364.690711,0.664431405420508
"129204","Arizona State University at the Tempe Campus",2002,38601.683438,0.519120219945014
"129205","Arizona State University at the Tempe Campus",2003,40085.987288,0.520048602673147
"129206","Arizona State University at the Tempe Campus",2004,41617.111792,0.545760572270145
"129207","Arizona State University at the Tempe Campus",2005,42189.046971,0.549333333333333
"129208","Arizona State University at the Tempe Campus",2006,44279.247997,0.56376887038001
"129209","Arizona State University at the Tempe Campus",2007,42791.8359375,0.55546218487395
"129210","Arizona State University at the Tempe Campus",2008,42605.172463,0.559894978667542
"129211","Arizona State University",2009,57636.001189,0.557593543653705
"129212","Arizona State University",2010,59849.731356,0.590929041697147
"129226","University of Arizona",2002,31519.125622,0.545681477783325
"129227","University of Arizona",2003,32343.90879,0.547054840893703
"129228","University of Arizona",2004,32835.493533,0.570558176100629
"129229","University of Arizona",2005,32982.895059,0.589153335934452
"129230","University of Arizona",2006,33197.567529,0.564394635311409
"129231","University of Arizona",2007,32946.10546875,0.560852104068448
"129232","University of Arizona",2008,33447.343826,0.571708533760912
"129233","University of Arizona",2009,34273.773878,0.583910034602076
"129234","University of Arizona",2010,35289.285385,0.597376931369026
"129816","Western International University",2006,50543.737387,0.523809523809524
"130867","American River College",2002,35391.620278,0.320711417096959
"130868","American River College",2003,43873.441123,0.319066147859922
"130869","American River College",2004,32690.429926,0.318261890780975
"130870","American River College",2005,36521.407173,0.312799043062201
"130871","American River College",2006,37454.39826,0.315733896515312
"130872","American River College",2007,38840.16796875,0.196378830083565
"130873","American River College",2008,42167.700629,0.192438114615124
"130874","American River College",2009,43330.315848,0.20517691759677
"130875","American River College",2010,44972.10861,0.208072523203108
"131306","California State University-Fullerton",2002,23925.251088,0.467455621301775
"131307","California State University-Fullerton",2003,25410.419545,0.475821167883212
"131308","California State University-Fullerton",2004,25571.625483,0.494874184529357
"131309","California State University-Fullerton",2005,26151.303845,0.482311320754717
"131310","California State University-Fullerton",2006,28018.809138,0.490772128060264
"131311","California State University-Fullerton",2007,28630.87890625,0.498917748917749
"131312","California State University-Fullerton",2008,29821.27235,0.490428441203282
"131313","California State University-Fullerton",2009,30084.461079,0.516462233699161
"131314","California State University-Fullerton",2010,29677.099627,0.514269567674484
"131328","California State University-Long Beach",2002,27330.186307,0.396259243149195
"131329","California State University-Long Beach",2003,28252.215159,0.423138510808647
"131330","California State University-Long Beach",2004,28400.755799,0.464555052790347
"131331","California State University-Long Beach",2005,27657.392777,0.462677546086431
"131332","California State University-Long Beach",2006,28845.602006,0.477909147479776
"131333","California State University-Long Beach",2007,29815.884765625,0.46831637372803
"131334","California State University-Long Beach",2008,30920.465569,0.553228021978022
"131335","California State University-Long Beach",2009,32079.530764,0.544174902665469
"131336","California State University-Long Beach",2010,30172.079419,0.54
"131350","California State University-Northridge",2002,24910.438745,0.301761252446184
"131351","California State University-Northridge",2003,26738.07894,0.32177033492823
"131352","California State University-Northridge",2004,26827.100712,0.36319073083779
"131353","California State University-Northridge",2005,25139.019693,0.364747634069401
"131354","California State University-Northridge",2006,26883.680568,0.40036496350365
"131355","California State University-Northridge",2007,27822.482421875,0.40530303030303
"131356","California State University-Northridge",2008,28579.452637,0.410573678290214
"131357","California State University-Northridge",2009,29835.022582,0.437304520898493
"131358","California State University-Northridge",2010,28674.053081,0.478927203065134
"131361","California State University-Sacramento",2002,21842.33836,0.358166189111748
"131362","California State University-Sacramento",2003,23254.654258,0.391851851851852
"131363","California State University-Sacramento",2004,23391.025819,0.396728016359918
"131364","California State University-Sacramento",2005,23210.000406,0.40844266970907
"131365","California State University-Sacramento",2006,23370.174041,0.420924574209246
"131366","California State University-Sacramento",2007,23785.90234375,0.423617208077261
"131367","California State University-Sacramento",2008,23907.730358,0.415475189234651
"131368","California State University-Sacramento",2009,24236.04838,0.438858116744781
"131369","California State University-Sacramento",2010,25136.223903,0.420194003527337
"131375","University of California-Berkeley",2002,30518.685033,0.835524550576871
"131376","University of California-Berkeley",2003,31457.828381,0.854166666666667
"131377","University of California-Berkeley",2004,31497.716488,0.865687583444593
"131378","University of California-Berkeley",2005,31243.911987,0.871322518559252
"131379","University of California-Berkeley",2006,31892.801097,0.888948211425521
"131380","University of California-Berkeley",2007,32763.2734375,0.880686249025214
"131381","University of California-Berkeley",2008,33854.683295,0.896448087431694
"131382","University of California-Berkeley",2009,34304.245726,0.901719901719902
"131383","University of California-Berkeley",2010,34749.392635,0.910984848484849
"131386","University of California-Davis",2002,25502.059896,0.782102272727273
"131387","University of California-Davis",2003,27318.30833,0.811226611226611
"131388","University of California-Davis",2004,27641.029048,0.814529220779221
"131389","University of California-Davis",2005,27567.515036,0.801152737752161
"131390","University of California-Davis",2006,27260.519792,0.808752025931929
"131391","University of California-Davis",2007,28010.802734375,0.791136363636364
"131392","University of California-Davis",2008,28867.726893,0.813883516011176
"131393","University of California-Davis",2009,29639.688649,0.798324607329843
"131394","University of California-Davis",2010,30358.781171,0.823432730687955
"131397","University of California-Irvine",2002,21157.52811,0.762201113658696
"131398","University of California-Irvine",2003,23053.986937,0.78741947707465
"131399","University of California-Irvine",2004,23512.922388,0.797829036635007
"131400","University of California-Irvine",2005,23585.743808,0.799548914575698
"131401","University of California-Irvine",2006,23723.489575,0.79358938933407
"131402","University of California-Irvine",2007,24568.787109375,0.796036126442549
"131403","University of California-Irvine",2008,25839.042773,0.810244764067626
"131404","University of California-Irvine",2009,26301.210752,0.817003241087011
"131405","University of California-Irvine",2010,26542.567843,0.825749167591565
"131408","University of California-Los Angeles",2002,36514.833048,0.845509295627128
"131409","University of California-Los Angeles",2003,36669.439897,0.866964051430071
"131410","University of California-Los Angeles",2004,36145.642589,0.872380952380952
"131411","University of California-Los Angeles",2005,35178.776471,0.873788759689923
"131412","University of California-Los Angeles",2006,34909.057283,0.893444576877235
"131413","University of California-Los Angeles",2007,35892.8671875,0.899787785899552
"131414","University of California-Los Angeles",2008,36732.646648,0.892101551480959
"131415","University of California-Los Angeles",2009,37429.677281,0.892455482661668
"131416","University of California-Los Angeles",2010,37709.986467,0.897876914807847
"131430","University of California-San Diego",2002,20989.977087,0.81224337439343
"131431","University of California-San Diego",2003,22883.159657,0.829009065332917
"131432","University of California-San Diego",2004,23475.834903,0.826453751129858
"131433","University of California-San Diego",2005,23995.723971,0.845677099473195
"131434","University of California-San Diego",2006,24552.278832,0.858744394618834
"131435","University of California-San Diego",2007,25521.501953125,0.843004270283848
"131436","University of California-San Diego",2008,26466.124691,0.851520150836672
"131437","University of California-San Diego",2009,27008.211409,0.843906291129245
"131438","University of California-San Diego",2010,27863.277188,0.86060918946825
"131453","University of California-Santa Barbara",2003,20074.010133,0.735468245425188
"131454","University of California-Santa Barbara",2004,20358.242661,0.751966292134831
"131455","University of California-Santa Barbara",2005,20588.003822,0.787426744805541
"131456","University of California-Santa Barbara",2006,20570.008627,0.784579164214244
"131457","University of California-Santa Barbara",2007,20687.513671875,0.799338478500551
"131458","University of California-Santa Barbara",2008,21053.718431,0.814776002095887
"131459","University of California-Santa Barbara",2009,21502.907782,0.80176322418136
"131460","University of California-Santa Barbara",2010,22428.716192,0.794170750580346
"131896","City College of San Francisco",2006,20151.268597,0.384615384615385
"131897","City College of San Francisco",2007,20510.416015625,0.276515151515151
"131898","City College of San Francisco",2008,21272.631028,0.271580010095911
"131964","Coastline Community College",2002,24946.995654,0.389776357827476
"131965","Coastline Community College",2003,25668.395439,0.410714285714286
"131966","Coastline Community College",2004,23735.634298,0.391711229946524
"131967","Coastline Community College",2005,24752.679042,0.431697612732096
"131968","Coastline Community College",2006,24320.401217,0.401157613535174
"131969","Coastline Community College",2007,24238.13671875,0.321695760598504
"131970","Coastline Community College",2008,26190.971916,0.299568965517241
"131971","Coastline Community College",2009,26754.697853,0.329172714078374
"131972","Coastline Community College",2010,27067.216418,0.320610687022901
"132082","Contra Costa College",2003,21534.65508,0.376222723852521
"132083","Contra Costa College",2004,20153.618219,0.383506805444356
"132088","Contra Costa College",2009,20892.420745,0.281101111699312
"132089","Contra Costa College",2010,22479.163254,0.273364485981308
"132131","Cypress College",2003,20898.724055,0.266990291262136
"132134","Cypress College",2006,22616.605454,0.349890430971512
"132136","Cypress College",2008,20643.788775,0.241691842900302
"132137","Cypress College",2009,21785.66892,0.254961318533468
"132138","Cypress College",2010,22397.45895,0.252644679527069
"132151","De Anza College",2002,21936.877591,0.416509611760271
"132152","De Anza College",2003,23012.346933,0.406004288777698
"132153","De Anza College",2004,23837.322523,0.44880174291939
"132154","De Anza College",2005,21836.557754,0.427782162588792
"132155","De Anza College",2006,22053.278854,0.430944963655244
"132156","De Anza College",2007,22075.072265625,0.542984409799555
"132157","De Anza College",2008,23328.78976,0.458005249343832
"132158","De Anza College",2009,25190.638732,0.544244604316547
"132159","De Anza College",2010,25309.76432,0.561320754716981
"133133","Los Angeles City College",2002,68418.073852,0.303341902313625
"133134","Los Angeles City College",2003,69247.816406,0.335507921714818
"133135","Los Angeles City College",2004,62322.624442,0.305726872246696
"133136","Los Angeles City College",2005,61242.843952,0.313192346424975
"133137","Los Angeles City College",2006,62092.766109,0.313688212927757
"133138","Los Angeles City College",2007,63500.4375,0.20060275004709
