FIPS,STNAME,CTYNAME,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012
01001,Alabama,Autauga County,54634,55392,55514
01003,Alabama,Baldwin County,183275,186830,190790
01005,Alabama,Barbour County,27366,27313,27201
01007,Alabama,Bibb County,22863,22738,22597
01009,Alabama,Blount County,57359,57748,57826
01011,Alabama,Bullock County,10880,10599,10474
01013,Alabama,Butler County,20929,20598,20307
01015,Alabama,Calhoun County,118423,117815,117296
01017,Alabama,Chambers County,34125,34005,34064
01019,Alabama,Cherokee County,25981,26094,26021
01021,Alabama,Chilton County,43700,43814,43819
01023,Alabama,Choctaw County,13836,13629,13633
01025,Alabama,Clarke County,25757,25600,25161
01027,Alabama,Clay County,13882,13656,13435
01029,Alabama,Cleburne County,14962,14937,14832
01031,Alabama,Coffee County,50135,50485,51252
01033,Alabama,Colbert County,54489,54419,54446
01035,Alabama,Conecuh County,13195,13100,12981
01037,Alabama,Coosa County,11549,11109,10966
01039,Alabama,Covington County,37774,38094,37955
01041,Alabama,Crenshaw County,13867,13959,14083
01043,Alabama,Cullman County,80471,80479,80440
01045,Alabama,Dale County,50333,50141,50444
01047,Alabama,Dallas County,43782,43189,42864
01049,Alabama,DeKalb County,71108,71463,71080
01051,Alabama,Elmore County,79544,80149,80629
01053,Alabama,Escambia County,38287,38153,37994
01055,Alabama,Etowah County,104452,104298,104392
01057,Alabama,Fayette County,17219,17042,16983
01059,Alabama,Franklin County,31723,31786,31761
01061,Alabama,Geneva County,26813,26803,26931
01063,Alabama,Greene County,8999,8921,8876
01065,Alabama,Hale County,15706,15371,15388
01067,Alabama,Henry County,17292,17423,17287
01069,Alabama,Houston County,101787,102425,103402
01071,Alabama,Jackson County,53158,53230,53019
01073,Alabama,Jefferson County,658391,658967,660009
01075,Alabama,Lamar County,14505,14313,14259
01077,Alabama,Lauderdale County,92709,92663,92542
01079,Alabama,Lawrence County,34302,34091,33838
01081,Alabama,Lee County,140761,143580,147257
01083,Alabama,Limestone County,83213,85539,87654
01085,Alabama,Lowndes County,11252,11111,10857
01087,Alabama,Macon County,21533,21213,20535
01089,Alabama,Madison County,336168,339673,343080
01091,Alabama,Marengo County,20943,20699,20401
01093,Alabama,Marion County,30788,30527,30327
01095,Alabama,Marshall County,93185,94102,94776
01097,Alabama,Mobile County,413216,413145,413936
01099,Alabama,Monroe County,22974,22779,22602
01101,Alabama,Montgomery County,229753,231910,230149
01103,Alabama,Morgan County,119585,120024,120395
01105,Alabama,Perry County,10522,10509,10181
01107,Alabama,Pickens County,19690,19371,19405
01109,Alabama,Pike County,32964,32893,33182
01111,Alabama,Randolph County,22889,22842,22675
01113,Alabama,Russell County,53238,55035,57820
01115,Alabama,St. Clair County,83835,84348,85237
01117,Alabama,Shelby County,195879,198123,200941
01119,Alabama,Sumter County,13746,13542,13427
01121,Alabama,Talladega County,82023,81774,81762
01123,Alabama,Tallapoosa County,41508,41495,41168
